user,device,plug_time,unplug_time
thangakumar,usb_4,2023-01-28 15:24:00,2023-01-28 16:53:00
sandhana,usb_1,2023-01-29 14:44:00,2023-01-29 14:54:00
rahul,usb_2,2023-01-29 12:56:00,2023-01-29 14:21:00
anuja,usb_3,2023-01-29 18:58:00,2023-01-29 19:11:00
bharathkumar,usb_4,2023-01-30 14:48:00,2023-01-30 16:03:00
arun,usb_3,2023-01-30 09:48:00,2023-01-30 10:06:00
jeeva,usb_3,2023-01-30 14:28:00,2023-01-30 14:54:00
maha,usb_2,2023-01-30 16:02:00,2023-01-30 17:06:00
user1,usb_1,2023-01-30 18:44:00,2023-01-30 20:15:00
karthi,usb_4,2023-01-30 13:47:00,2023-01-30 14:43:00
bharathkumar,usb_4,2023-01-30 08:00:00,2023-01-30 08:37:00
thangakumar,usb_5,2023-01-29 02:00:00,2023-01-29 03:10:00
